STATION_NUMBER,ZONE_DESCRIPTION
20001409,39560
20001408,39560
20001440,39464
20001401,39463
20001402,39463
10001033,39156
10000329,39221
10000330,39201
10000333,39167
10000334,39148
10000335,39148
10000229,39129
10000230,39129
10001228,39249
20001404,39461
20001405,39461
10001216,39236
10001217,39224
10001221,39224
10000427,39208
10000125,39152
10000225,39215
10000226,39215
10000201,39194
10000202,39178
10000224,39178
10000204,39141
10000205,39141
10000207,39122
10000208,39107
10000211,39107
61001622,39574
10000618,39290
10000619,39290
10000610,39293
10000620,39293
10000601,39319
10000607,39319
10000604,39319
10000603,39319
10000605,39319
10001203,39240
10001212,39222
10000520,39258
10000522,39258
10000546,39258
10000301,39202
10000332,39202
10000302,39207
10000303,39207
10000307,39207
10000304,39214
10000305,39214
10000316,39184
10000327,39184
10000314,39184
10000317,39190
10000318,39190
10000309,39197
10000508,39312
10000510,39312
10000518,39205
10000525,39212
10000526,39212
10000530,39256
10000531,39256
10000539,39193
10000540,39193
10000533,39255
10000534,39255
10000535,39255
10000324,39155
10000320,39159
10000321,39159
10000654,39164
10000655,39164
10000653,39172
10000649,39176
10000651,39176
10000652,39176
10000650,39180
10000633,39140
10000638,39303
10000661,39303
10000641,39305
10000647,39305
10000644,39324
10000213,39114
10000220,39118
10000214,39118
10000625,39297
10000663,39297
10000627,39320
10000657,39320
10000659,39320
10000629,39320
10000630,39320
61001609,39587
61001610,39587
61001611,39587
61001613,39587
61001602,39581
10001218,39259
20001705,39487
20001708,39547
20001709,39547
20001712,39490
20001730,39550
20001731,39550
20001713,39488
20001714,39488
20001728,39551
20001729,39551
20001716,39494
20001721,39552
20001717,39545
20001719,39545
20001723,39546
20001724,39546
10000813,39101
10000844,39452
20000924,39449
20000925,39449
20000904,39445
20000905,39445
20001423,39410
20001422,39408
20001420,39407
20001417,39405
20001418,39405
20001416,39404
10000718,39124
10000719,39124
20001738,39549
20001739,39481
20001741,39479
10001010,39315
10001009,39315
61001614,39582
10000704,39165
10000748,39146
10000725,39127
10000726,39127
10000729,39111
10000740,39106
35001517,39600
35001518,39600
10000504,39199
10000505,39199
10000515,39181
10000516,39181
10000517,39181
10000665,39302
10000662,39302
10000820,39533
10000840,39533
20001125,39532
20001127,39532
20001145,39530
20001111,39522
20001123,39515
20000948,39424
20000949,39424
20000945,39418
20000946,39418
20000944,39413
35001547,39665
35001548,39665
35001543,39645
35001544,39645
20001411,39495
35001542,39636
35001537,39624
35001533,39613
35001532,39610
10000407,39185
10001026,39150
10001031,39132
10000824,39291
10000828,39291
10000832,39284
10000821,39276
10000836,39276
61001623,39583
61001626,39578
10000623,39453
20001304,39470
20001732,39548
20001733,39548
10000543,39204
10000542,39186
10000642,39309
10000643,39309
10000645,39304
10000646,39304
10000656,39304
10000608,39298
10000845,39450
10000846,39450
20001101,39531
20001134,39528
20001146,39528
20001105,39517
20001106,39517
20001103,39512
20000974,39509
20000975,39509
20000977,39504
20000982,39500
35001527,39652
10001001,39163
10001007,39145
10001008,39145
10000854,39288
10000853,39281
10000851,39274
10000880,39274
20001406,39465
20001302,39540
20001303,39540
10000536,39192
20001130,39460
20001143,39460
20001118,39443
20001119,39443
20001114,39439
20001120,39439
20001121,39436
20000935,39426
20000936,39426
20000937,39508
20000940,39502
20000941,39502
35001502,39606
35001504,39606
10000439,39210
35001505,39606
35001507,39605
35001513,39604
35001514,39602
35001553,39602
35001515,39601
35001516,39601
20001413,39400
20001414,39400
10000410,39191
10000711,39157
10000745,39119
10000746,39119
10000804,39245
10001202,39242
10001204,39237
20001737,39480
20001735,39480
10000328,39226
10000306,39206
10000312,39189
10000313,39189
10000319,39174
10000322,39154
10000323,39154
10000326,39154
35001549,39642
35001539,39635
20001155,39537
20001158,39538
10000509,39243
10000501,39239
10000502,39239
10000511,39196
10000512,39196
10000513,39177
10000514,39177
10000634,39306
10000635,39306
10000636,39306
10000632,39300
10001207,39250
10000615,39295
10000616,39295
10000617,39295
20001437,39544
20001746,39484
10000810,39100
10000811,39100
10000803,39246
10000806,39246
10000838,39272
10000839,39272
10000849,39271
10000817,39271
10000870,39317
10000876,39317
10000878,39317
10000872,39317
10000873,39317
10000874,39317
10000814,39451
10000815,39451
10000841,39448
10000842,39448
10000885,39457
10000879,39458
20000901,39466
20000902,39466
20000903,39447
20000919,39446
20000920,39467
20000921,39467
20001128,39468
20001129,39468
20001131,39444
20001132,39444
20001133,39442
20001140,39541
20001148,39529
20001137,39526
20001142,39518
20000906,39527
20000907,39527
20000916,39524
20001115,39440
20001116,39440
20000910,39438
20000915,39520
20000914,39520
20001112,39437
20001122,39437
20001102,39516
20001110,39516
20000926,39510
20000960,39429
20000962,39429
20000952,39427
20000951,39425
20000968,39425
20000973,39422
20000961,39421
20000947,39419
20000967,39507
20000976,39505
20000958,39417
20000943,39414
20000942,39414
20000964,39501
20000965,39501
20001424,39409
20001439,39496
35001521,39607
20001412,39492
20001415,39491
35001540,39637
20001747,39478
20001748,39478
20001745,39477
20001749,39477
20001743,39476
35001536,39614
10000401,39225
10000441,39263
10000402,39218
10001214,39216
10001215,39216
10000425,39209
10000443,39198
10001035,39267
10001041,39267
10001048,39260
10000429,39195
10000420,39188
10000418,39182
10000409,39175
10001017,39175
10001002,39170
10000131,39179
20001429,39462
10001003,39301
10001006,39301
10001038,39253
10001032,39131
10001046,39131
10000127,39161
10000104,39153
10001011,39138
10001025,39133
10001016,39126
10001034,39139
10001020,39252
10001021,39248
10000132,39142
10000722,39128
10000723,39128
10000724,39128
10000744,39323
10000825,39120
10000826,39120
10000119,39123
10000120,39123
10000121,39123
10000138,39116
10000139,39116
10000717,39112
10000736,39110
10000737,39110
10000822,39286
10000829,39285
10000830,39285
10000884,39282
10000116,39108
10000112,39105
10000113,39105
10000730,39103
10000733,39102
10000743,39102
10000881,39278
10000833,39277
10000882,39277
10000852,39275
10000865,39318
10000868,39318
10000869,39318
10000863,39456
20001139,39536
20001153,39536
20001149,39525
20001136,39514
20001135,39511
20000955,39415
20000954,39411
10001027,39254
10001004,39254
10001005,39254
10001018,39121
10001028,39121
10000857,39287
10000859,39279
10000860,39279
10000861,39273
10000862,39273
20001704,39486
20001703,39485
20001701,39483
20001744,39482
10001036,39316
10001037,39316
91001901,39003
91001903,39003
23002310,39588
23002309,39588
71002015,39569
10001039,39264
71002013,39565
71002004,39565
81002101,39004
81002102,39004
81002103,39004
23002308,39590
10001029,39261
71002016,39570
71002017,39570
71002018,39570
71002019,39570
71002020,39570
81002105,39006
71002008,39562
71002009,39562
71002010,39562
71002011,39562
71002005,39562
71002012,39562
71002002,39566
71002003,39566
71002006,39567
71002007,39567
10000831,39283
10001049,39169
10001220,39231
10001201,39238
23002301,39591
23002302,39591
23002304,39591
23002305,39591
23002303,39591
81002104,39005
24002447,39700
24002448,39700
24002407,39701
24002410,39704
24002411,39704
24002412,39704
24002414,39708
24002416,39712
24002415,39712
24002417,39715
24002418,39715
24002419,39720
24002421,39725
24002422,39725
24002423,39735
24002424,39735
24002427,39744
24002431,39710
24002432,39710
24002435,39713
24002437,39718
24002438,39723
24002443,39740
24002444,39733
24002445,39733
24002446,39705
24002450,39709
24002451,39709
24002452,39702
24002453,39702
24002455,39751
24002456,39703
24002457,39717
24002458,39717
24002459,39707
24002460,39707
24002461,39722
24002462,39722
24002463,39711
24002494,39711
24002466,39714
24002467,39749
24002469,39719
24002470,39719
24002471,39747
24002473,39739
24002474,39724
24002476,39745
24002477,39745
24002478,39729
24002479,39729
24002480,39721
24002481,39726
24002482,39731
24002485,39743
24002486,39746
24002488,39737
24002489,39742
24002491,39736
24002492,39741
10000336,39155
10000416,39195
24002475,39734
61001612,39587
61001624,39583
71002014,39561
10001013,39265
10001047,39264
10001050,39270
10001044,39270
10001040,39251
35002537,39609
35002536,39609
35002538,39620
10001223,39229
10000331,39183
10001042,39125
10000702,39112
20001751,39482
20001754,39482
20001755,39484
20001756,39484
20001757,39484
35002533,39623
35002534,39621
35002529,39619
35002530,39618
35002531,39618
35002535,39617
35001556,39660
35001566,39664
35002519,39630
35002516,39641
35002518,39641
35002517,39641
35002528,39666
35002526,39629
35002527,39629
35002523,39631
35002521,39634
35002522,39634
35002512,39643
35002510,39643
35002504,39647
35002503,39650
35002502,39657
35002501,39663
35002506,39659
35002507,39659
35001557,39653
35001558,39653
35002509,39651
35002515,39648
35002514,39648
35001559,39603
10000523,39223
20000930,39420
35001562,39645
35002505,39656
10000102,39173
26002609,39806
26002612,39806
26002614,39803
26002608,39801
26002606,39801
26002601,39800
26002603,39801
26002604,39801
26002605,39801
10000122,39134
10000864,39284
10000713,39162
24002426,39735
24002425,39735
24002449,39748
35001551,39662
35001509,39605
26002618,39809
10000133,39142
10000626,39299
10000115,39104
10000118,39115
35001525,39638
35002539,39627
24002472,39748
10000128,39134
26002610,39802
26002623,39808
26002625,39810
26002607,39801
10000419,39188
61001616,39585
35001511,39633
35001523,39622
35001545,39608
35001529,39625
35001528,39626
10001022,39269
10000109,39135
10000110,39115
35002541,39632
35002540,39640
10000412,39310
10000114,39104
10000129,39179
10001045,39266
10000709,39162
20001426,39497
20001425,39409
20001434,39543
20001435,39543
35001568,39661
10000818,39455
28002801,39007
28002803,39007
28002802,39007
28002805,39007
28002804,39007
28002806,39007
28002807,39007
28002808,39007
28002809,39007
28002813,39007
28002810,39007
28002811,39007
27002701,39902
27002702,39902
19001905,39002
19001906,39002
19001907,39002
19001908,39002
27002710,39905
27002703,39904
27002704,39904
27002705,39904
27002706,39901
19001909,39002
26002627,39812
26002628,39812
26002629,39811
26002630,39811
26002631,39814
10000117,39108
10000405,39228
10000406,39203
10001051,39126
24002409,39752
24002408,39752
24002413,39708
24002429,39744
24002428,39744
82002220,
82002224,
82002225,
82002226,
82002227,
82002221,
82002228,
82002229,
82002222,
82002230,
82002223,
82002204,
82002213,
82002219,
82002218,
82002205,
82002201,
82002202,
82002203,
82002214,
82002215,
82002216,
82002217,
82002206,
82002212,
82002211,
82002210,
82002209,
82002207,
82002208,
10001024,39139
26002640,39819
26002639,39818
26002638,39817
26002637,39816
26002636,39816
26002634,39814
26002632,39811
10000856,39287
24002436,39723
24002441,39728
24002490,39754
24002487,39753
35001554,39638
35001567,39661
10000532,39211
24002439,39718
10000438,39182
20001419,39459
20001306,39470
24002405,39759
24002404,39758
24002403,39757
24002402,39756
24002401,39755
35001534,39612
20001740,39402
10000310,39206
10001226,39230
10000308,39201
10000101,39108
10000311,39174
10000624,39296
10001052,39156
10001053,39253
10000855,39289
20000917,39524
20000908,39430
20001438,39499
20001436,39539
35001531,39611
20001410,39464
71002001,39563
20000956,39412
20000909,39432
10001219,39244
10000622,39453
20001109,39525
20001108,39523
20001113,39518
10000227,39117
10000203,39114
20000938,39428
35002511,39620
35001538,39637
20001403,39471
35001512,39604
35001564,39660
10000609,39298
24002433,39713
81002106,
81002107,
81002109,
81002108,
36730002,
36730001,
36730003,
36730004,
36730005,
36730006,
36730007,
81002119,
81002120,
36730008,
36730009,
81002123,
81002124,
20000939,39411
20001107,39531
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
10001019,39265
10000734,39109
20001727,39552
20001725,39552
20001320,39475
20001322,39474
10000431,39195
10000827,39292
10000805,39288
35001550,39665
21002113,39024
21002112,39024
10001023,39252
35001508,39658
35002513,39620
10001030,39138
61001606,39584
10000506,39213
10001211,39234
23002306,39589
26002613,39806
26002611,39806
20001431,39498
35001535,39613
24002464,39727
24002420,39720
26002615,39804
26002622,39802
20000912,39508
20000931,39416
20000929,39421
35001555,39642
35002524,39632
35001520,39607
35001519,39600
26002621,39808
20001104,39513
10000216,39130
61001607,39581
10000215,39130
10000528,39308
,
,
,
,
,
,
,
